Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Fri Jan 6 12:02:57 GMT 2017,add,1000,1000,0.30,0.01,13944
Fri Jan 6 12:02:57 GMT 2017,add,1000,2000,0.34,0.01,14116
Fri Jan 6 12:02:57 GMT 2017,add,1000,3000,0.38,0.01,17240
Fri Jan 6 12:02:57 GMT 2017,add,1000,4000,0.39,0.01,17520
Fri Jan 6 12:02:57 GMT 2017,add,1000,5000,0.48,0.01,18080
Fri Jan 6 12:02:57 GMT 2017,add,1000,6000,0.56,0.01,17444
Fri Jan 6 12:02:57 GMT 2017,add,1000,7000,0.64,0.01,18528
Fri Jan 6 12:02:57 GMT 2017,add,1000,8000,0.71,0.01,18756
Fri Jan 6 12:02:57 GMT 2017,add,1000,9000,0.76,0.01,18032
Fri Jan 6 12:02:57 GMT 2017,add,1000,10000,0.71,0.01,18712
Fri Jan 6 12:02:57 GMT 2017,mul,1000,1000,0.34,0.01,14288
Fri Jan 6 12:02:57 GMT 2017,mul,1000,2000,0.35,0.01,15736
Fri Jan 6 12:02:57 GMT 2017,mul,1000,3000,0.52,0.01,18916
Fri Jan 6 12:02:57 GMT 2017,mul,1000,4000,0.42,0.01,17520
Fri Jan 6 12:02:57 GMT 2017,mul,1000,5000,0.52,0.01,18816
Fri Jan 6 12:02:57 GMT 2017,mul,1000,6000,0.58,0.01,19424
Fri Jan 6 12:02:57 GMT 2017,mul,1000,7000,0.66,0.01,18680
Fri Jan 6 12:02:57 GMT 2017,mul,1000,8000,0.71,0.01,18380
Fri Jan 6 12:02:57 GMT 2017,mul,1000,9000,0.76,0.01,17640
Fri Jan 6 12:02:57 GMT 2017,mul,1000,10000,0.75,0.01,18136
Fri Jan 6 12:02:57 GMT 2017,div,1000,1000,0.53,0.01,31632
Fri Jan 6 12:02:57 GMT 2017,div,1000,2000,0.59,0.01,38936
Fri Jan 6 12:02:57 GMT 2017,div,1000,3000,0.65,0.01,40212
Fri Jan 6 12:02:57 GMT 2017,div,1000,4000,0.62,0.01,40612
Fri Jan 6 12:02:57 GMT 2017,div,1000,5000,0.70,0.02,40988
Fri Jan 6 12:02:57 GMT 2017,div,1000,6000,0.74,0.01,39960
Fri Jan 6 12:02:57 GMT 2017,div,1000,7000,0.87,0.01,40616
Fri Jan 6 12:02:57 GMT 2017,div,1000,8000,0.94,0.01,40152
Fri Jan 6 12:02:57 GMT 2017,div,1000,9000,0.93,0.01,40584
Fri Jan 6 12:02:57 GMT 2017,div,1000,10000,0.98,0.01,40760
