Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Tue Jan 3 23:39:52 GMT 2017,add,1000,1000,0.47,0.01,8724
Tue Jan 3 23:39:52 GMT 2017,add,1000,2000,0.61,0.01,9192
Tue Jan 3 23:39:53 GMT 2017,add,1000,3000,0.78,0.01,10276
Tue Jan 3 23:39:54 GMT 2017,add,1000,4000,0.90,0.01,9704
Tue Jan 3 23:39:55 GMT 2017,add,1000,5000,1.36,0.01,10428
Tue Jan 3 23:39:57 GMT 2017,add,1000,6000,1.26,0.01,10432
Tue Jan 3 23:39:58 GMT 2017,add,1000,7000,1.64,0.01,11624
Tue Jan 3 23:40:00 GMT 2017,add,1000,8000,1.84,0.01,11336
Tue Jan 3 23:40:02 GMT 2017,add,1000,9000,1.86,0.01,11596
Tue Jan 3 23:40:04 GMT 2017,add,1000,10000,2.17,0.02,11336
Tue Jan 3 23:40:05 GMT 2017,mul,1000,1000,0.53,0.01,8664
Tue Jan 3 23:40:05 GMT 2017,mul,1000,2000,0.69,0.01,9304
Tue Jan 3 23:40:06 GMT 2017,mul,1000,3000,0.87,0.01,9688
Tue Jan 3 23:40:07 GMT 2017,mul,1000,4000,0.98,0.01,9532
Tue Jan 3 23:40:09 GMT 2017,mul,1000,5000,1.34,0.01,10204
Tue Jan 3 23:40:10 GMT 2017,mul,1000,6000,1.45,0.01,10300
Tue Jan 3 23:40:12 GMT 2017,mul,1000,7000,1.99,0.01,11556
Tue Jan 3 23:40:14 GMT 2017,mul,1000,8000,2.10,0.01,11316
Tue Jan 3 23:40:17 GMT 2017,mul,1000,9000,2.23,0.01,11304
Tue Jan 3 23:40:19 GMT 2017,mul,1000,10000,2.35,0.01,11168
Tue Jan 3 23:40:20 GMT 2017,div,1000,1000,0.86,0.01,10100
Tue Jan 3 23:40:21 GMT 2017,div,1000,2000,1.18,0.02,11240
Tue Jan 3 23:40:22 GMT 2017,div,1000,3000,1.23,0.01,11972
Tue Jan 3 23:40:24 GMT 2017,div,1000,4000,1.34,0.01,12200
Tue Jan 3 23:40:26 GMT 2017,div,1000,5000,1.84,0.01,13160
Tue Jan 3 23:40:28 GMT 2017,div,1000,6000,2.40,0.01,13348
Tue Jan 3 23:40:31 GMT 2017,div,1000,7000,2.75,0.01,14568
Tue Jan 3 23:40:34 GMT 2017,div,1000,8000,2.87,0.01,14384
Tue Jan 3 23:40:37 GMT 2017,div,1000,9000,2.91,0.02,14408
Tue Jan 3 23:40:40 GMT 2017,div,1000,10000,3.05,0.01,14212
