Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Wed Jan 4 10:31:15 GMT 2017,logistic,1000,1000,0.84,0.01,16824
Wed Jan 4 10:31:16 GMT 2017,logistic,1000,2000,0.98,0.01,22540
Wed Jan 4 10:31:17 GMT 2017,logistic,1000,3000,1.44,0.01,22984
Wed Jan 4 10:31:19 GMT 2017,logistic,1000,4000,1.60,0.01,22944
Wed Jan 4 10:31:21 GMT 2017,logistic,1000,5000,2.35,0.01,23060
Wed Jan 4 10:31:24 GMT 2017,logistic,1000,6000,2.79,0.01,23172
Wed Jan 4 10:31:27 GMT 2017,logistic,1000,7000,2.66,0.01,23148
Wed Jan 4 10:31:29 GMT 2017,logistic,1000,8000,2.80,0.01,23104
Wed Jan 4 10:31:33 GMT 2017,logistic,1000,9000,3.90,0.01,35340
Wed Jan 4 10:31:37 GMT 2017,logistic,1000,10000,4.02,0.01,35472
Wed Jan 4 10:31:40 GMT 2017,logistic,2000,1000,2.64,0.02,40496
Wed Jan 4 10:31:43 GMT 2017,logistic,2000,2000,2.83,0.02,39536
Wed Jan 4 10:31:47 GMT 2017,logistic,2000,3000,4.48,0.03,40496
Wed Jan 4 10:31:52 GMT 2017,logistic,2000,4000,4.62,0.02,40496
Wed Jan 4 10:31:57 GMT 2017,logistic,2000,5000,4.83,0.02,40524
Wed Jan 4 10:32:02 GMT 2017,logistic,2000,6000,5.22,0.02,40552
Wed Jan 4 10:32:10 GMT 2017,logistic,2000,7000,7.60,0.03,41524
Wed Jan 4 10:32:18 GMT 2017,logistic,2000,8000,7.74,0.03,66400
Wed Jan 4 10:32:26 GMT 2017,logistic,2000,9000,7.90,0.04,65012
Wed Jan 4 10:32:34 GMT 2017,logistic,2000,10000,8.30,0.02,65036
