Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Fri Jan 6 12:01:34 GMT 2017,add,1000,1000,0.23,0.03,11176
Fri Jan 6 12:01:34 GMT 2017,add,1000,2000,0.10,0.02,10984
Fri Jan 6 12:01:34 GMT 2017,add,1000,3000,0.11,0.02,9628
Fri Jan 6 12:01:34 GMT 2017,add,1000,4000,0.13,0.01,10288
Fri Jan 6 12:01:34 GMT 2017,add,1000,5000,0.25,0.01,12068
Fri Jan 6 12:01:34 GMT 2017,add,1000,6000,0.24,0.01,12312
Fri Jan 6 12:01:34 GMT 2017,add,1000,7000,0.08,0.03,10324
Fri Jan 6 12:01:34 GMT 2017,add,1000,8000,0.23,0.04,14252
Fri Jan 6 12:01:34 GMT 2017,add,1000,9000,0.23,0.01,11544
Fri Jan 6 12:01:34 GMT 2017,add,1000,10000,0.16,0.06,12628
Fri Jan 6 12:01:34 GMT 2017,mul,1000,1000,0.17,0.02,10732
Fri Jan 6 12:01:34 GMT 2017,mul,1000,2000,0.17,0.02,11080
Fri Jan 6 12:01:34 GMT 2017,mul,1000,3000,0.13,0.01,13616
Fri Jan 6 12:01:34 GMT 2017,mul,1000,4000,0.35,0.01,14256
Fri Jan 6 12:01:34 GMT 2017,mul,1000,5000,0.16,0.01,10808
Fri Jan 6 12:01:34 GMT 2017,mul,1000,6000,0.12,0.03,15608
Fri Jan 6 12:01:34 GMT 2017,mul,1000,7000,0.14,0.01,13572
Fri Jan 6 12:01:34 GMT 2017,mul,1000,8000,0.13,0.06,15620
Fri Jan 6 12:01:34 GMT 2017,mul,1000,9000,0.19,0.01,12332
Fri Jan 6 12:01:34 GMT 2017,mul,1000,10000,0.16,0.03,12552
Fri Jan 6 12:01:34 GMT 2017,div,1000,1000,0.14,0.01,9376
Fri Jan 6 12:01:34 GMT 2017,div,1000,2000,0.14,0.02,8400
Fri Jan 6 12:01:34 GMT 2017,div,1000,3000,0.19,0.04,12752
Fri Jan 6 12:01:34 GMT 2017,div,1000,4000,0.38,0.03,11784
Fri Jan 6 12:01:34 GMT 2017,div,1000,5000,0.14,0.06,11328
Fri Jan 6 12:01:34 GMT 2017,div,1000,6000,0.22,0.04,12156
Fri Jan 6 12:01:34 GMT 2017,div,1000,7000,0.26,0.04,14088
Fri Jan 6 12:01:34 GMT 2017,div,1000,8000,0.42,0.09,12572
Fri Jan 6 12:01:34 GMT 2017,div,1000,9000,0.19,0.09,18592
Fri Jan 6 12:01:34 GMT 2017,div,1000,10000,0.21,0.13,14732
