Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Fri Jan 6 12:21:21 GMT 2017,logistic,1000,1000,55.24,33.15,29768
Fri Jan 6 12:21:48 GMT 2017,logistic,1000,2000,66.46,34.19,38044
Fri Jan 6 12:22:12 GMT 2017,logistic,1000,3000,55.41,33.06,31580
Fri Jan 6 12:22:36 GMT 2017,logistic,1000,4000,55.49,32.75,37988
Fri Jan 6 12:23:00 GMT 2017,logistic,1000,5000,54.22,32.90,33084
Fri Jan 6 12:23:24 GMT 2017,logistic,1000,6000,54.54,33.29,39392
Fri Jan 6 12:23:48 GMT 2017,logistic,1000,7000,55.18,32.42,39876
Fri Jan 6 12:24:12 GMT 2017,logistic,1000,8000,52.60,33.20,47456
Fri Jan 6 12:24:36 GMT 2017,logistic,1000,9000,57.14,32.35,49428
Fri Jan 6 12:25:00 GMT 2017,logistic,1000,10000,52.87,33.04,56468
Fri Jan 6 12:28:18 GMT 2017,logistic,2000,1000,428.27,195.06,92440
Fri Jan 6 12:31:38 GMT 2017,logistic,2000,2000,429.22,200.08,95572
Fri Jan 6 12:34:56 GMT 2017,logistic,2000,3000,423.29,193.07,101892
Fri Jan 6 12:38:16 GMT 2017,logistic,2000,4000,435.45,193.19,118048
Fri Jan 6 12:41:36 GMT 2017,logistic,2000,5000,431.25,193.45,125444
Fri Jan 6 12:44:54 GMT 2017,logistic,2000,6000,430.22,193.95,130544
Fri Jan 6 12:48:11 GMT 2017,logistic,2000,7000,420.33,192.87,138400
Fri Jan 6 12:51:26 GMT 2017,logistic,2000,8000,416.97,190.40,142176
Fri Jan 6 12:54:41 GMT 2017,logistic,2000,9000,423.00,189.64,131184
Fri Jan 6 12:57:57 GMT 2017,logistic,2000,10000,416.40,190.94,128072
