Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Fri Jan 6 11:41:49 GMT 2017,exp,1000,1000,0.36,0.09,11192
Fri Jan 6 11:41:50 GMT 2017,exp,1000,2000,0.80,0.27,9688
Fri Jan 6 11:41:51 GMT 2017,exp,1000,3000,2.23,0.39,9684
Fri Jan 6 11:41:52 GMT 2017,exp,1000,4000,3.07,0.64,12100
Fri Jan 6 11:41:55 GMT 2017,exp,1000,5000,4.45,0.76,12560
Fri Jan 6 11:41:58 GMT 2017,exp,1000,6000,7.17,1.06,14868
Fri Jan 6 11:42:03 GMT 2017,exp,1000,7000,9.63,1.14,13440
Fri Jan 6 11:42:10 GMT 2017,exp,1000,8000,12.60,1.48,14524
Fri Jan 6 11:42:19 GMT 2017,exp,1000,9000,15.90,1.88,12740
Fri Jan 6 11:42:30 GMT 2017,exp,1000,10000,19.43,2.54,13132
Fri Jan 6 11:42:30 GMT 2017,log,1000,1000,0.72,0.15,11012
Fri Jan 6 11:42:31 GMT 2017,log,1000,2000,2.11,0.53,11948
Fri Jan 6 11:42:33 GMT 2017,log,1000,3000,4.27,0.93,12664
Fri Jan 6 11:42:37 GMT 2017,log,1000,4000,6.66,1.26,15156
Fri Jan 6 11:42:42 GMT 2017,log,1000,5000,10.89,1.94,13772
Fri Jan 6 11:42:50 GMT 2017,log,1000,6000,15.37,2.22,11764
Fri Jan 6 11:43:02 GMT 2017,log,1000,7000,22.61,3.46,15360
Fri Jan 6 11:43:18 GMT 2017,log,1000,8000,29.94,4.16,16120
Fri Jan 6 11:43:38 GMT 2017,log,1000,9000,39.59,4.87,12344
Fri Jan 6 11:44:04 GMT 2017,log,1000,10000,48.56,6.87,17396
Fri Jan 6 11:44:05 GMT 2017,sqrt,1000,1000,0.20,0.03,10796
Fri Jan 6 11:44:05 GMT 2017,sqrt,1000,2000,0.21,0.04,9368
Fri Jan 6 11:44:05 GMT 2017,sqrt,1000,3000,0.21,0.04,12332
Fri Jan 6 11:44:05 GMT 2017,sqrt,1000,4000,0.28,0.05,8164
Fri Jan 6 11:44:05 GMT 2017,sqrt,1000,5000,0.27,0.05,12600
Fri Jan 6 11:44:05 GMT 2017,sqrt,1000,6000,0.32,0.08,14520
Fri Jan 6 11:44:05 GMT 2017,sqrt,1000,7000,0.33,0.06,13404
Fri Jan 6 11:44:05 GMT 2017,sqrt,1000,8000,0.28,0.07,12908
Fri Jan 6 11:44:06 GMT 2017,sqrt,1000,9000,0.36,0.05,11368
Fri Jan 6 11:44:06 GMT 2017,sqrt,1000,10000,0.42,0.02,12908
Fri Jan 6 11:44:06 GMT 2017,cos,1000,1000,0.27,0.04,8284
Fri Jan 6 11:44:06 GMT 2017,cos,1000,2000,0.63,0.12,11008
Fri Jan 6 11:44:07 GMT 2017,cos,1000,3000,2.01,0.24,9200
Fri Jan 6 11:44:08 GMT 2017,cos,1000,4000,2.11,0.26,15004
Fri Jan 6 11:44:10 GMT 2017,cos,1000,5000,3.23,0.40,13292
Fri Jan 6 11:44:12 GMT 2017,cos,1000,6000,4.66,0.85,11732
Fri Jan 6 11:44:15 GMT 2017,cos,1000,7000,5.98,0.87,15768
Fri Jan 6 11:44:19 GMT 2017,cos,1000,8000,7.54,1.07,16208
Fri Jan 6 11:44:25 GMT 2017,cos,1000,9000,9.87,1.21,14832
Fri Jan 6 11:44:31 GMT 2017,cos,1000,10000,11.44,1.32,14060
Fri Jan 6 11:44:31 GMT 2017,add,1000,1000,0.23,0.03,11176
Fri Jan 6 11:44:31 GMT 2017,add,1000,2000,0.10,0.02,10984
Fri Jan 6 11:44:31 GMT 2017,add,1000,3000,0.11,0.02,9628
Fri Jan 6 11:44:31 GMT 2017,add,1000,4000,0.13,0.01,10288
Fri Jan 6 11:44:31 GMT 2017,add,1000,5000,0.25,0.01,12068
Fri Jan 6 11:44:31 GMT 2017,add,1000,6000,0.24,0.01,12312
Fri Jan 6 11:44:31 GMT 2017,add,1000,7000,0.08,0.03,10324
Fri Jan 6 11:44:31 GMT 2017,add,1000,8000,0.23,0.04,14252
Fri Jan 6 11:44:31 GMT 2017,add,1000,9000,0.23,0.01,11544
Fri Jan 6 11:44:32 GMT 2017,add,1000,10000,0.16,0.06,12628
Fri Jan 6 11:44:32 GMT 2017,mul,1000,1000,0.17,0.02,10732
Fri Jan 6 11:44:32 GMT 2017,mul,1000,2000,0.17,0.02,11080
Fri Jan 6 11:44:32 GMT 2017,mul,1000,3000,0.13,0.01,13616
Fri Jan 6 11:44:32 GMT 2017,mul,1000,4000,0.35,0.01,14256
Fri Jan 6 11:44:32 GMT 2017,mul,1000,5000,0.16,0.01,10808
Fri Jan 6 11:44:32 GMT 2017,mul,1000,6000,0.12,0.03,15608
Fri Jan 6 11:44:32 GMT 2017,mul,1000,7000,0.14,0.01,13572
Fri Jan 6 11:44:32 GMT 2017,mul,1000,8000,0.13,0.06,15620
Fri Jan 6 11:44:32 GMT 2017,mul,1000,9000,0.19,0.01,12332
Fri Jan 6 11:44:32 GMT 2017,mul,1000,10000,0.16,0.03,12552
Fri Jan 6 11:44:32 GMT 2017,div,1000,1000,0.14,0.01,9376
Fri Jan 6 11:44:32 GMT 2017,div,1000,2000,0.14,0.02,8400
Fri Jan 6 11:44:32 GMT 2017,div,1000,3000,0.19,0.04,12752
Fri Jan 6 11:44:33 GMT 2017,div,1000,4000,0.38,0.03,11784
Fri Jan 6 11:44:33 GMT 2017,div,1000,5000,0.14,0.06,11328
Fri Jan 6 11:44:33 GMT 2017,div,1000,6000,0.22,0.04,12156
Fri Jan 6 11:44:33 GMT 2017,div,1000,7000,0.26,0.04,14088
Fri Jan 6 11:44:33 GMT 2017,div,1000,8000,0.42,0.09,12572
Fri Jan 6 11:44:33 GMT 2017,div,1000,9000,0.19,0.09,18592
Fri Jan 6 11:44:33 GMT 2017,div,1000,10000,0.21,0.13,14732
