Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Sat Dec 31 14:47:10 GMT 2016,logistic,1000,1000,0.36,0.01,35112
Sat Dec 31 14:47:11 GMT 2016,logistic,1000,2000,0.39,0.01,34128
Sat Dec 31 14:47:11 GMT 2016,logistic,1000,3000,0.45,0.02,37040
Sat Dec 31 14:47:12 GMT 2016,logistic,1000,4000,0.52,0.01,36260
Sat Dec 31 14:47:13 GMT 2016,logistic,1000,5000,0.65,0.01,37824
Sat Dec 31 14:47:13 GMT 2016,logistic,1000,6000,0.68,0.01,37872
Sat Dec 31 14:47:14 GMT 2016,logistic,1000,7000,0.74,0.01,37816
Sat Dec 31 14:47:15 GMT 2016,logistic,1000,8000,0.74,0.01,37712
Sat Dec 31 14:47:16 GMT 2016,logistic,1000,9000,1.00,0.02,37836
Sat Dec 31 14:47:17 GMT 2016,logistic,1000,10000,1.04,0.01,37812
Sat Dec 31 14:47:18 GMT 2016,logistic,2000,1000,0.86,0.01,67444
Sat Dec 31 14:47:19 GMT 2016,logistic,2000,2000,0.90,0.02,66736
Sat Dec 31 14:47:20 GMT 2016,logistic,2000,3000,1.20,0.01,68532
Sat Dec 31 14:47:21 GMT 2016,logistic,2000,4000,1.27,0.02,68536
Sat Dec 31 14:47:23 GMT 2016,logistic,2000,5000,1.32,0.02,68508
Sat Dec 31 14:47:24 GMT 2016,logistic,2000,6000,1.37,0.02,68532
Sat Dec 31 14:47:26 GMT 2016,logistic,2000,7000,1.93,0.02,68620
Sat Dec 31 14:47:28 GMT 2016,logistic,2000,8000,1.65,0.39,68604
Sat Dec 31 14:47:30 GMT 2016,logistic,2000,9000,2.08,0.01,68556
Sat Dec 31 14:47:32 GMT 2016,logistic,2000,10000,2.17,0.02,68460
