Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Fri Dec 30 21:53:06 GMT 2016,exp,1000,1000,0.38,0.01,16220
Fri Dec 30 21:53:07 GMT 2016,exp,1000,2000,0.46,0.01,17188
Fri Dec 30 21:53:07 GMT 2016,exp,1000,3000,0.67,0.01,17464
Fri Dec 30 21:53:08 GMT 2016,exp,1000,4000,0.79,0.01,19224
Fri Dec 30 21:53:10 GMT 2016,exp,1000,5000,1.20,0.01,18584
Fri Dec 30 21:53:11 GMT 2016,exp,1000,6000,1.21,0.01,18252
Fri Dec 30 21:53:13 GMT 2016,exp,1000,7000,2.43,0.01,18580
Fri Dec 30 21:53:16 GMT 2016,exp,1000,8000,2.74,0.02,18820
Fri Dec 30 21:53:19 GMT 2016,exp,1000,9000,2.59,0.01,18572
Fri Dec 30 21:53:21 GMT 2016,exp,1000,10000,2.66,0.01,18444
Fri Dec 30 21:53:22 GMT 2016,log,1000,1000,0.46,0.01,22776
Fri Dec 30 21:53:22 GMT 2016,log,1000,2000,0.54,0.01,22084
Fri Dec 30 21:53:23 GMT 2016,log,1000,3000,0.76,0.01,20808
Fri Dec 30 21:53:24 GMT 2016,log,1000,4000,0.72,0.01,21888
Fri Dec 30 21:53:25 GMT 2016,log,1000,5000,1.15,0.01,23460
Fri Dec 30 21:53:26 GMT 2016,log,1000,6000,1.18,0.01,21684
Fri Dec 30 21:53:28 GMT 2016,log,1000,7000,2.12,0.01,21368
Fri Dec 30 21:53:30 GMT 2016,log,1000,8000,2.04,0.01,23928
Fri Dec 30 21:53:33 GMT 2016,log,1000,9000,2.09,0.01,25724
Fri Dec 30 21:53:35 GMT 2016,log,1000,10000,2.12,0.01,23620
Fri Dec 30 21:53:35 GMT 2016,sqrt,1000,1000,0.37,0.01,21888
Fri Dec 30 21:53:36 GMT 2016,sqrt,1000,2000,0.40,0.01,20704
Fri Dec 30 21:53:36 GMT 2016,sqrt,1000,3000,0.40,0.01,21396
Fri Dec 30 21:53:36 GMT 2016,sqrt,1000,4000,0.42,0.01,21212
Fri Dec 30 21:53:37 GMT 2016,sqrt,1000,5000,0.52,0.01,22496
Fri Dec 30 21:53:37 GMT 2016,sqrt,1000,6000,0.47,0.01,20944
