Time,Op,Count,Accuracy(bits),UTime(s),STime(s),Mem(kB)
Fri Dec 30 15:00:27 GMT 2016,exp,200,1000,0.13,0.01,10220
Fri Dec 30 15:00:27 GMT 2016,exp,200,2000,0.10,0.01,10352
Fri Dec 30 15:00:28 GMT 2016,exp,200,3000,0.13,0.01,10640
Fri Dec 30 15:00:28 GMT 2016,exp,200,4000,0.21,0.01,10672
Fri Dec 30 15:00:28 GMT 2016,exp,200,5000,0.25,0.01,10968
Fri Dec 30 15:00:28 GMT 2016,exp,200,6000,0.26,0.01,10912
Fri Dec 30 15:00:29 GMT 2016,exp,200,7000,0.50,0.01,10404
Fri Dec 30 15:00:29 GMT 2016,exp,200,8000,0.56,0.01,10952
Fri Dec 30 15:00:30 GMT 2016,exp,200,9000,0.50,0.01,10344
Fri Dec 30 15:00:31 GMT 2016,exp,200,10000,0.57,0.01,10728
Fri Dec 30 15:00:31 GMT 2016,log,200,1000,0.22,0.01,16680
Fri Dec 30 15:00:31 GMT 2016,log,200,2000,0.25,0.01,16828
Fri Dec 30 15:00:31 GMT 2016,log,200,3000,0.26,0.01,16608
Fri Dec 30 15:00:32 GMT 2016,log,200,4000,0.25,0.01,16180
Fri Dec 30 15:00:32 GMT 2016,log,200,5000,0.35,0.01,17180
Fri Dec 30 15:00:32 GMT 2016,log,200,6000,0.38,0.01,16704
Fri Dec 30 15:00:33 GMT 2016,log,200,7000,0.51,0.01,16700
Fri Dec 30 15:00:33 GMT 2016,log,200,8000,0.53,0.01,17232
Fri Dec 30 15:00:34 GMT 2016,log,200,9000,0.56,0.01,17028
Fri Dec 30 15:00:35 GMT 2016,log,200,10000,0.53,0.01,16776
Fri Dec 30 15:00:35 GMT 2016,sqrt,200,1000,0.20,0.01,16428
Fri Dec 30 15:00:35 GMT 2016,sqrt,200,2000,0.19,0.01,16280
Fri Dec 30 15:00:35 GMT 2016,sqrt,200,3000,0.20,0.01,16540
Fri Dec 30 15:00:36 GMT 2016,sqrt,200,4000,0.24,0.01,16620
Fri Dec 30 15:00:36 GMT 2016,sqrt,200,5000,0.23,0.01,16360
Fri Dec 30 15:00:36 GMT 2016,sqrt,200,6000,0.20,0.01,17056
Fri Dec 30 15:00:36 GMT 2016,sqrt,200,7000,0.23,0.01,16576
Fri Dec 30 15:00:37 GMT 2016,sqrt,200,8000,0.24,0.01,17016
Fri Dec 30 15:00:37 GMT 2016,sqrt,200,9000,0.26,0.01,16180
Fri Dec 30 15:00:37 GMT 2016,sqrt,200,10000,0.24,0.01,17060
Fri Dec 30 15:00:37 GMT 2016,cos,200,1000,0.08,0.01,9076
Fri Dec 30 15:00:37 GMT 2016,cos,200,2000,0.12,0.01,9404
Fri Dec 30 15:00:38 GMT 2016,cos,200,3000,0.25,0.01,9392
Fri Dec 30 15:00:38 GMT 2016,cos,200,4000,0.28,0.01,9412
Fri Dec 30 15:00:38 GMT 2016,cos,200,5000,0.52,0.01,9368
Fri Dec 30 15:00:39 GMT 2016,cos,200,6000,0.52,0.01,9400
Fri Dec 30 15:00:40 GMT 2016,cos,200,7000,1.22,0.01,9388
Fri Dec 30 15:00:41 GMT 2016,cos,200,8000,1.22,0.01,9820
Fri Dec 30 15:00:43 GMT 2016,cos,200,9000,1.24,0.01,9552
Fri Dec 30 15:00:44 GMT 2016,cos,200,10000,1.25,0.01,9876
Fri Dec 30 15:00:44 GMT 2016,add,1000,1000,0.30,0.01,13568
Fri Dec 30 15:00:45 GMT 2016,add,1000,2000,0.32,0.01,15548
Fri Dec 30 15:00:45 GMT 2016,add,1000,3000,0.37,0.01,14780
Fri Dec 30 15:00:46 GMT 2016,add,1000,4000,0.43,0.01,16856
Fri Dec 30 15:00:46 GMT 2016,add,1000,5000,0.48,0.01,17652
Fri Dec 30 15:00:47 GMT 2016,add,1000,6000,0.51,0.01,17488
Fri Dec 30 15:00:47 GMT 2016,add,1000,7000,0.63,0.01,18436
Fri Dec 30 15:00:48 GMT 2016,add,1000,8000,0.74,0.01,18268
Fri Dec 30 15:00:49 GMT 2016,add,1000,9000,0.72,0.01,18120
Fri Dec 30 15:00:49 GMT 2016,add,1000,10000,0.71,0.01,18620
Fri Dec 30 15:00:50 GMT 2016,mul,1000,1000,0.33,0.01,13692
Fri Dec 30 15:00:50 GMT 2016,mul,1000,2000,0.35,0.01,14268
Fri Dec 30 15:00:51 GMT 2016,mul,1000,3000,0.39,0.01,17392
Fri Dec 30 15:00:51 GMT 2016,mul,1000,4000,0.43,0.01,17480
Fri Dec 30 15:00:52 GMT 2016,mul,1000,5000,0.52,0.01,18088
Fri Dec 30 15:00:52 GMT 2016,mul,1000,6000,0.52,0.01,18928
Fri Dec 30 15:00:53 GMT 2016,mul,1000,7000,0.67,0.01,18756
Fri Dec 30 15:00:54 GMT 2016,mul,1000,8000,0.71,0.01,18340
Fri Dec 30 15:00:54 GMT 2016,mul,1000,9000,0.74,0.01,18120
Fri Dec 30 15:00:55 GMT 2016,mul,1000,10000,0.76,0.01,18128
Fri Dec 30 15:00:56 GMT 2016,div,1000,1000,0.57,0.01,35020
Fri Dec 30 15:00:56 GMT 2016,div,1000,2000,0.57,0.02,38144
Fri Dec 30 15:00:57 GMT 2016,div,1000,3000,0.58,0.02,40960
Fri Dec 30 15:00:58 GMT 2016,div,1000,4000,0.66,0.01,40412
Fri Dec 30 15:00:58 GMT 2016,div,1000,5000,0.80,0.01,41164
Fri Dec 30 15:00:59 GMT 2016,div,1000,6000,0.76,0.01,40644
Fri Dec 30 15:01:00 GMT 2016,div,1000,7000,0.90,0.01,40352
Fri Dec 30 15:01:01 GMT 2016,div,1000,8000,0.94,0.01,40704
Fri Dec 30 15:01:02 GMT 2016,div,1000,9000,0.93,0.01,40692
Fri Dec 30 15:01:03 GMT 2016,div,1000,10000,0.94,0.02,40984
